Code,Hospital Outpatient Price
40702,"$1,311"
40720,$814
40761,"$1,326"
40800,$157
40801,$143
40805,$142
40806,N/A
40808,$121
40810,N/A
40812,N/A
40814,$668
40816,$673
40818,$156
40819,$329
40820,N/A
40830,$74
40831,$143
41000,N/A
41005,$68
41006,$335
41007,$333
41008,$663
41009,$160
41010,$311
41015,$162
41016,"$1,182"
41017,$680
41018,$368
41019,"$1,210"
41100,$125
41105,N/A
41108,N/A
41110,N/A
41112,$661
41113,$665
41114,$735
41115,N/A
41116,$655
41120,"$1,322"
41251,$82
41252,$87
41510,$702
41512,"$1,246"
41520,$662
41530,N/A
41805,N/A
41806,N/A
41825,N/A
41826,N/A
41827,"$1,171"
42000,$67
42100,N/A
42104,N/A
42106,N/A
42107,"$1,178"
42120,"$1,311"
42140,$null
42145,"$1,251"
42160,N/A
42180,$141
42182,"$1,166"
42200,"$1,297"
42205,$802
42210,"$1,326"
42215,"$1,253"
42220,"$1,229"
42225,"$1,308"
42226,"$1,293"
42227,"$1,281"
42235,"$1,261"
42260,"$1,247"
42280,$125
42281,$null
42300,$null
42305,$698
42310,$null
42320,$139
42330,$null
42335,N/A
42340,$null
42400,N/A
42405,$334
42408,$681
42409,$659
42410,$null
42415,$null
42420,"$1,348"
42425,"$1,280"
42440,"$1,197"
42450,"$1,187"
42500,"$1,183"
42505,$null
42507,"$1,213"
42509,"$1,276"
42510,$733
42600,$683
42650,$null
42660,N/A
42665,$656
42700,$72
42720,$688
42725,"$1,272"
42800,N/A
42804,$637
42806,$641
42808,$645
42810,$669
42815,"$1,221"
42820,"$1,172"
42821,$673
42825,"$1,168"
42826,$663
42830,$null
42831,$659
42835,$652
42836,$661
42860,$651
42870,"$1,231"
42890,"$1,392"
42892,"$1,480"
42900,$355
42950,"$1,271"
42955,$439
42960,$null
42962,$715
42970,$127
42972,$713
42975,$342
43030,"$1,218"
43130,"$1,271"
43180,"$1,222"
43191,$392
43192,$395
43193,$395
43194,$399
43195,$765
43196,$400
43197,N/A
43198,N/A
43200,$189
43201,$382
43202,$382
43204,$388
43205,$389
43206,$387
43210,"$1,715"
43211,$407
43212,"$1,122"
43213,$412
43214,$399
43215,$389
43216,$null
43217,$392
43220,$384
43226,$387
43227,$null
43229,$null
43231,$392
43232,$400
43233,$406
43235,$195
43236,$198
43237,$399
43238,$406
43239,$198
43240,"$1,161"
43241,$389
43242,$412
43243,$407
43244,$409
43245,$395
43246,$400
43247,$206
43248,$204
43249,$391
43250,$394
43251,$399
43252,$394
43253,$412
43254,$414
43255,$400
43257,$774
43259,$405
43260,$791
43261,$794
43262,$797
43263,$430
43264,$799
43265,"$1,169"
43266,"$1,128"
43270,$405
43274,"$1,175"
43275,$434
43276,"$1,178"
43277,$801
43278,$812
43284,"$1,760"
43285,"$1,231"
43290,$397
43291,$203
43450,$187
43453,$378
43653,"$1,213"
43752,$82
43755,$40
43756,$181
43757,$186
43761,$67
43762,$54
43763,$64
43774,$918
43870,$868
43886,$756
43887,$null
43888,$775
44100,$192
44312,$800
44340,$807
44360,$389
44361,$392
44363,$399
44364,$401
44365,$397
44366,$408
44369,$409
44370,"$1,137"
44372,$408
44373,$398
44376,$416
44377,$null
44378,$436
44379,"$1,164"
44380,$183
44381,$378
44382,$186
44384,$391
44385,$188
44386,$191
44388,$204
44388,$204
44389,$257
44390,$214
44391,$268
44392,$262
44394,$267
44401,$270
44402,"$1,136"
44403,$282
44404,$257
44405,$259
44406,$268
44407,$277
44408,$218
44500,$175
45000,$308
45005,$256
45020,$647
45100,$595
45108,$609
45150,$308
45160,$737
45171,$656
45172,$697
45190,$672
45300,N/A
45303,$240
45305,$238
45307,$554
45308,$551
45309,$241
45315,$null
45317,$245
45320,$555
45321,$555
45327,"$1,108"
45330,N/A
45331,$188
45332,$244
45333,$192
45334,$246
45335,$187
45337,$196
45338,$247
45340,$239
45341,$198
45342,$257
45346,$255
45347,"$1,115"
45349,$573
45350,$243
45378,$209
45378,$209
45379,$270
45380,$262
45381,$262
45382,$273
45384,$268
45385,$273
45386,$264
45388,$276
45389,"$1,141"
45390,$599
45391,$273
45392,$282
45393,$272
45398,$269
45500,$647
45505,$653
45541,$719
45560,$671
45562,$null
45900,$216
45905,$257
45910,$262
45915,$269
45990,$555
46020,$557
46030,$240
46040,$308
46045,$622
46050,$194
46060,$631
46070,$588
46080,$566
46083,$68
46200,$602
46220,$248
46221,$211
46230,$569
46250,$598
46255,$605
46257,$617
46258,$630
46260,$630
46261,$640
46262,$651
